areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
overview,United Kingdom,K02000001,2021-11-18,9937,9766153
overview,United Kingdom,K02000001,2021-11-17,33806,9756216
overview,United Kingdom,K02000001,2021-11-16,41577,9722410
overview,United Kingdom,K02000001,2021-11-15,48925,9680833
overview,United Kingdom,K02000001,2021-11-14,34647,9631908
overview,United Kingdom,K02000001,2021-11-13,32145,9597261
overview,United Kingdom,K02000001,2021-11-12,36876,9565116
overview,United Kingdom,K02000001,2021-11-11,40156,9528240
overview,United Kingdom,K02000001,2021-11-10,42006,9488084
overview,United Kingdom,K02000001,2021-11-09,41357,9446078
overview,United Kingdom,K02000001,2021-11-08,43244,9404721
overview,United Kingdom,K02000001,2021-11-07,29965,9361477
overview,United Kingdom,K02000001,2021-11-06,26896,9331512
overview,United Kingdom,K02000001,2021-11-05,29701,9304616
overview,United Kingdom,K02000001,2021-11-04,32325,9274915
overview,United Kingdom,K02000001,2021-11-03,35014,9242590
overview,United Kingdom,K02000001,2021-11-02,37101,9207576
overview,United Kingdom,K02000001,2021-11-01,44162,9170475
overview,United Kingdom,K02000001,2021-10-31,34058,9126313
overview,United Kingdom,K02000001,2021-10-30,32965,9092255
overview,United Kingdom,K02000001,2021-10-29,39507,9059290
overview,United Kingdom,K02000001,2021-10-28,40615,9019783
overview,United Kingdom,K02000001,2021-10-27,42249,8979168
overview,United Kingdom,K02000001,2021-10-26,41406,8936919
overview,United Kingdom,K02000001,2021-10-25,46632,8895513
overview,United Kingdom,K02000001,2021-10-24,35144,8848881
overview,United Kingdom,K02000001,2021-10-23,34540,8813737
overview,United Kingdom,K02000001,2021-10-22,39979,8779197
overview,United Kingdom,K02000001,2021-10-21,44427,8739218
overview,United Kingdom,K02000001,2021-10-20,50830,8694791
overview,United Kingdom,K02000001,2021-10-19,51574,8643961
overview,United Kingdom,K02000001,2021-10-18,56703,8592387
overview,United Kingdom,K02000001,2021-10-17,42984,8535684
overview,United Kingdom,K02000001,2021-10-16,37273,8492700
overview,United Kingdom,K02000001,2021-10-15,42860,8455427
overview,United Kingdom,K02000001,2021-10-14,45632,8412567
overview,United Kingdom,K02000001,2021-10-13,46984,8366935
overview,United Kingdom,K02000001,2021-10-12,47503,8319951
overview,United Kingdom,K02000001,2021-10-11,49461,8272448
overview,United Kingdom,K02000001,2021-10-10,35824,8222987
overview,United Kingdom,K02000001,2021-10-09,31722,8187163
overview,United Kingdom,K02000001,2021-10-08,35003,8155441
overview,United Kingdom,K02000001,2021-10-07,37883,8120438
overview,United Kingdom,K02000001,2021-10-06,38616,8082555
overview,United Kingdom,K02000001,2021-10-05,38608,8043939
overview,United Kingdom,K02000001,2021-10-04,43071,8005331
overview,United Kingdom,K02000001,2021-10-03,31510,7962260
overview,United Kingdom,K02000001,2021-10-02,25902,7930750
overview,United Kingdom,K02000001,2021-10-01,28639,7904848
overview,United Kingdom,K02000001,2021-09-30,32015,7876209
overview,United Kingdom,K02000001,2021-09-29,34300,7844194
overview,United Kingdom,K02000001,2021-09-28,35934,7809894
overview,United Kingdom,K02000001,2021-09-27,40925,7773960
overview,United Kingdom,K02000001,2021-09-26,31524,7733035
overview,United Kingdom,K02000001,2021-09-25,27860,7701511
overview,United Kingdom,K02000001,2021-09-24,31603,7673651
overview,United Kingdom,K02000001,2021-09-23,35217,7642048
overview,United Kingdom,K02000001,2021-09-22,36156,7606831
overview,United Kingdom,K02000001,2021-09-21,38262,7570675
overview,United Kingdom,K02000001,2021-09-20,40115,7532413
overview,United Kingdom,K02000001,2021-09-19,30545,7492298
overview,United Kingdom,K02000001,2021-09-18,26303,7461753
overview,United Kingdom,K02000001,2021-09-17,29064,7435450
overview,United Kingdom,K02000001,2021-09-16,29176,7406386
overview,United Kingdom,K02000001,2021-09-15,29945,7377210
overview,United Kingdom,K02000001,2021-09-14,30937,7347265
overview,United Kingdom,K02000001,2021-09-13,34120,7316328
overview,United Kingdom,K02000001,2021-09-12,23669,7282208
overview,United Kingdom,K02000001,2021-09-11,23210,7258539
overview,United Kingdom,K02000001,2021-09-10,28729,7235329
overview,United Kingdom,K02000001,2021-09-09,33407,7206600
overview,United Kingdom,K02000001,2021-09-08,35235,7173193
overview,United Kingdom,K02000001,2021-09-07,38025,7137958
overview,United Kingdom,K02000001,2021-09-06,44143,7099933
overview,United Kingdom,K02000001,2021-09-05,31254,7055790
overview,United Kingdom,K02000001,2021-09-04,31361,7024536
overview,United Kingdom,K02000001,2021-09-03,38024,6993175
overview,United Kingdom,K02000001,2021-09-02,41630,6955151
overview,United Kingdom,K02000001,2021-09-01,42833,6913521
overview,United Kingdom,K02000001,2021-08-31,44474,6870688
overview,United Kingdom,K02000001,2021-08-30,34174,6826214
overview,United Kingdom,K02000001,2021-08-29,25693,6792040
overview,United Kingdom,K02000001,2021-08-28,27167,6766347
overview,United Kingdom,K02000001,2021-08-27,33180,6739180
overview,United Kingdom,K02000001,2021-08-26,36988,6706000
